Time t;Z Position z_t;Signal Amplitude
5.93e-09;-0.00560488;0.309017
5.94e-09;-0.00560488;0.809017
5.95e-09;-0.00560488;1
5.96e-09;-0.00560488;0.809017
5.97e-09;-0.00560488;0.309017
5.98e-09;-0.00560488;-0.309017
5.99e-09;-0.00560488;-0.809017
6e-09;-0.00560488;1
6.01e-09;-0.00560488;0.809017
6.02e-09;-0.00560488;0.309017
6.03e-09;-0.00560488;-0.309017
6.04e-09;-0.00560488;-0.809017
6.05e-09;-0.00560488;-1
6.06e-09;-0.00560488;-0.809017
6.07e-09;-0.00560488;-0.309017
6.08e-09;-0.00560488;0.309017
6.09e-09;-0.00560488;0.809017
6.1e-09;-0.00560488;1
6.11e-09;-0.00560488;0.809017
6.12e-09;-0.00560488;0.309017
6.13e-09;-0.00560488;-0.309017
6.14e-09;-0.00560488;-0.809017
6.15e-09;-0.00560488;-1
6.16e-09;-0.00560488;-0.809017
6.17e-09;-0.00560488;-0.309017
6.18e-09;-0.00560488;0.309017
6.19e-09;-0.00560488;0.809017
6.2e-09;-0.00560488;1
6.21e-09;-0.00560488;0.809017
6.22e-09;-0.00560488;0.309017
6.23e-09;-0.00560488;-0.309017
6.24e-09;-0.00560488;-0.809017
6.25e-09;-0.00560488;-1
6.26e-09;-0.00560488;-0.809017
6.27e-09;-0.00560488;-0.309017
6.28e-09;-0.00560488;0.309017
6.29e-09;-0.00560488;0.809017
6.3e-09;-0.00560488;1
6.31e-09;-0.00560488;0.809017
6.32e-09;-0.00560488;0.309017
6.33e-09;-0.00560488;-0.309017
6.34e-09;-0.00560488;-0.809017
6.35e-09;-0.00560488;-1
6.36e-09;-0.00560488;-0.809017
6.37e-09;-0.00560488;-0.309017
6.38e-09;-0.00560488;0.309017
6.39e-09;-0.00560488;0.809017
6.4e-09;-0.00560488;1
6.41e-09;-0.00560488;0.809017
6.42e-09;-0.00560488;0.309017
6.43e-09;-0.00560488;-0.309017
6.44e-09;-0.00560488;-0.809017
6.45e-09;-0.00560488;-1
6.46e-09;-0.00560488;-0.809017
6.47e-09;-0.00560488;-0.309017
6.48e-09;-0.00560488;0.309017
6.49e-09;-0.00560488;0.809017
6.5e-09;-0.00560488;1
6.51e-09;-0.00560488;0.809017
6.52e-09;-0.00560488;0.309017
6.53e-09;-0.00560488;-0.309017
6.54e-09;-0.00560488;-0.809017
6.55e-09;-0.00560488;-1
6.56e-09;-0.00560488;-0.809017
6.57e-09;-0.00560488;-0.309017
6.58e-09;-0.00560488;0.309017
6.59e-09;-0.00560488;0.809017
6.6e-09;-0.00560488;1
6.61e-09;-0.00560488;0.809017
6.62e-09;-0.00560488;0.309017
6.63e-09;-0.00560488;-0.309017
6.64e-09;-0.00560488;-0.809017
6.65e-09;-0.00560488;-1
6.66e-09;-0.00560488;-0.809017
6.67e-09;-0.00560488;-0.309017
6.68e-09;-0.00560488;0.309017
6.69e-09;-0.00560488;0.809017
6.7e-09;-0.00560488;1
6.71e-09;-0.00560488;0.809017
6.72e-09;-0.00560488;0.309017
6.73e-09;-0.00560488;-0.309017
6.74e-09;-0.00560488;-0.809017
6.75e-09;-0.00560488;-1
6.76e-09;-0.00560488;-0.809017
6.77e-09;-0.00560488;-0.309017
6.78e-09;-0.00560488;0.309017
6.79e-09;-0.00560488;0.809017
6.8e-09;-0.00560488;1
6.81e-09;-0.00560488;0.809017
6.82e-09;-0.00560488;0.309017
6.83e-09;-0.00560488;-0.309017
6.84e-09;-0.00560488;-0.809017
6.85e-09;-0.00560488;-1
6.86e-09;-0.00560488;-0.809017
6.87e-09;-0.00560488;-0.309017
6.88e-09;-0.00560488;0.309017
6.89e-09;-0.00560488;0.809017
6.9e-09;-0.00560488;1
6.91e-09;-0.00560488;0.809017
6.92e-09;-0.00560488;0.309017
6.93e-09;-0.00560488;-0.309017
6.94e-09;-0.00560488;-0.809017
6.95e-09;-0.00560488;-1
6.96e-09;-0.00560488;-0.809017
6.97e-09;-0.00560488;-0.309017
6.98e-09;-0.00560488;0.309017
6.99e-09;-0.00560488;0.809017
7e-09;-0.00560488;1
7.01e-09;-0.00560488;0.809017
7.02e-09;-0.00560488;0.309017
7.03e-09;-0.00560488;-0.309017
7.04e-09;-0.00560488;-0.809017
7.05e-09;-0.00560488;-1
7.06e-09;-0.00560488;-0.809017
7.07e-09;-0.00560488;-0.309017
7.08e-09;-0.00560488;0.309017
7.09e-09;-0.00560488;0.809017
7.1e-09;-0.00560488;1
7.11e-09;-0.00560488;0.809017
7.12e-09;-0.00560488;0.309017
7.13e-09;-0.00560488;-0.309017
7.14e-09;-0.00560488;-0.809017
7.15e-09;-0.00560488;-1
7.16e-09;-0.00560488;-0.809017
7.17e-09;-0.00560488;-0.309017
7.18e-09;-0.00560488;0.309017
7.19e-09;-0.00560488;0.809017
7.2e-09;-0.00560488;1
7.21e-09;-0.00560488;0.809017
7.22e-09;-0.00560488;0.309017
7.23e-09;-0.00560488;-0.309017
7.24e-09;-0.00560488;-0.809017
7.25e-09;-0.00560488;-1
7.26e-09;-0.00560488;-0.809017
7.27e-09;-0.00560488;-0.309017
7.28e-09;-0.00560488;0.309017
7.29e-09;-0.00560488;0.809017
7.3e-09;-0.00560488;1
7.31e-09;-0.00560488;0.809017
7.32e-09;-0.00560488;0.309017
7.33e-09;-0.00560488;-0.309017
7.34e-09;-0.00560488;-0.809017
7.35e-09;-0.00560488;-1
7.36e-09;-0.00560488;-0.809017
7.37e-09;-0.00560488;-0.309017
