Time t;Signal Amplitude
0.119102;-0.994864
0.119133;-0.979514
0.119164;-0.954108
0.119195;-0.918906
0.119226;-0.87427
0.119257;-0.820658
0.119288;-0.758621
0.119319;-0.688795
0.11935;-0.611897
0.119381;-0.528718
0.119412;-0.44011
0.119443;-0.346984
0.119474;-0.250295
0.119505;-0.151037
0.119536;-0.0502277
0.119567;0.051097
0.119598;0.151897
0.119629;0.251138
0.11966;0.3478
0.119691;0.440891
0.119722;0.529456
0.119753;0.612586
0.119784;0.689426
0.119815;0.759187
0.119846;0.821155
0.119877;0.874692
0.119908;0.919249
0.119939;0.954368
0.11997;0.979689
0.120001;0.994952
0.120031;1
0.120062;0.994781
0.120093;0.979349
0.120124;0.953862
0.120155;0.918583
0.120186;0.873873
0.120217;0.82019
0.120248;0.758088
0.120279;0.688202
0.12031;0.61125
0.120341;0.528024
0.120372;0.439376
0.120403;0.346217
0.120434;0.249503
0.120465;0.150228
0.120496;0.049411
0.120527;-0.0519136
0.120558;-0.152705
0.120589;-0.251929
0.12062;-0.348566
0.120651;-0.441625
0.120682;-0.53015
0.120713;-0.613232
0.120744;-0.690018
0.120775;-0.759719
0.120806;-0.821621
0.120837;0.875088
0.120868;0.91957
0.120899;0.954612
0.12093;0.979853
0.120961;0.995033
0.120992;0.999999
0.121023;0.994697
0.121054;0.979183
0.121085;0.953617
0.121116;0.918259
0.121147;0.873475
0.121178;0.819722
0.121209;0.757554
0.12124;0.687608
0.121271;0.610603
0.121302;0.527329
0.121333;0.438641
0.121364;0.345449
0.121395;0.248711
0.121426;0.14942
0.121457;0.0485943
0.121488;-0.0527302
0.121519;-0.153513
0.12155;-0.25272
0.121581;-0.349333
0.121612;-0.442359
0.121643;-0.530843
0.121674;-0.613877
0.121705;-0.690609
0.121736;-0.760251
0.121767;-0.822087
0.121798;-0.875483
0.121829;-0.919891
0.12186;-0.954855
0.121891;-0.980016
0.121922;-0.995115
0.121952;-0.999997
0.121983;-0.994613
0.122014;-0.979017
0.122045;-0.95337
0.122076;-0.917935
0.122107;-0.873076
0.122138;-0.819254
0.122169;-0.75702
0.1222;-0.687014
0.122231;-0.609955
0.122262;-0.526634
0.122293;-0.437906
0.122324;-0.344682
0.122355;-0.247919
0.122386;-0.148611
0.122417;-0.0477775
0.122448;0.0535467
0.122479;0.154321
0.12251;0.253511
0.122541;0.350099
0.122572;0.443092
0.122603;0.531536
0.122634;0.614523
0.122665;0.6912
0.122696;0.760782
0.122727;0.822553
0.122758;0.875878
0.122789;0.920212
0.12282;0.955098
0.122851;0.980178
0.122882;0.995195
0.122913;0.999995
0.122944;0.994528
0.122975;0.97885
0.123006;0.953123
0.123037;0.917611
0.123068;0.872677
0.123099;0.818785
0.12313;0.756486
0.123161;0.68642
0.123192;0.609307
0.123223;0.525939
0.123254;0.437171
0.123285;0.343914
0.123316;0.247127
0.123347;0.147803
0.123378;0.0469607
0.123409;-0.0543632
0.12344;-0.155129
0.123471;-0.254302
0.123502;-0.350865
0.123533;-0.443825
0.123564;-0.532228
0.123595;-0.615168
0.123626;-0.691791
0.123657;-0.761312
0.123688;-0.823017
0.123719;-0.876273
0.12375;-0.920532
0.123781;-0.95534
0.123812;-0.98034
0.123843;-0.995275
0.123873;-0.999992
0.123904;-0.994442
0.123935;-0.978683
0.123966;-0.952875
0.123997;-0.917285
0.124028;-0.872278
0.124059;-0.818315
0.12409;-0.755951
0.124121;-0.685825
0.124152;-0.608659
0.124183;-0.525243
0.124214;-0.436435
0.124245;-0.343146
0.124276;-0.246335
0.124307;-0.146994
0.124338;-0.0461439
0.124369;0.0551797
0.1244;0.155937
0.124431;0.255093
0.124462;0.35163
0.124493;0.444557
0.124524;0.53292
0.124555;0.615812
0.124586;0.692381
0.124617;0.761842
0.124648;0.823481
0.124679;0.876666
0.12471;0.920851
0.124741;0.955581
0.124772;0.980501
0.124803;0.995354
0.124834;0.999988
0.124865;0.994355
